week_old,week,Rev from a Sport Store retail
15-W01,15-W01,995682.2327
15-W02,15-W02,1175469.773
15-W03,15-W03,1406700.118
15-W04,15-W04,1042556.546
15-W05,15-W05,1268013.12
15-W06,15-W06,1155386.379
15-W07,15-W07,1323853.843
15-W08,15-W08,1497652.871
15-W09,15-W09,1551530.672
15-W10,15-W10,1608355.308
15-W11,15-W11,1511075.527
15-W12,15-W12,1586468.715
15-W13,15-W13,1888235.547
15-W14,15-W14,2053061.617
15-W15,15-W15,2107751.92
15-W16,15-W16,1980511.565
15-W17,15-W17,2092786.008
15-W18,15-W18,1885197.453
15-W19,15-W19,2175379.084
15-W20,15-W20,1971715.376
15-W21,15-W21,1989865.955
15-W22,15-W22,1389718.751
15-W23,15-W23,1528024.688
15-W24,15-W24,1835367.736
15-W25,15-W25,1502669.643
15-W26,15-W26,1450240.723
15-W27,15-W27,1374403.102
15-W28,15-W28,1269626.975
15-W29,15-W29,1435918.896
15-W30,15-W30,1227506.578
15-W31,15-W31,1012408.689
15-W32,15-W32,1303962.99
15-W33,15-W33,1116712.43
15-W34,15-W34,1235546.814
15-W35,15-W35,1321264.585
15-W36,15-W36,1117042.002
15-W37,15-W37,1181118.053
15-W38,15-W38,1411871.723
15-W39,15-W39,1782362.125
15-W40,15-W40,1115866.819
15-W41,15-W41,1039250.927
15-W42,15-W42,1356991.832
15-W43,15-W43,817397.3353
15-W44,15-W44,1201391.693
15-W45,15-W45,1151381.936
15-W46,15-W46,1481549.496
15-W47,15-W47,760110.3728
15-W48,15-W48,531614.0204
15-W49,15-W49,1112086.386
15-W50,15-W50,1101512.907
15-W51,15-W51,1231738.677
15-W52,15-W52,1412837.326
16-W01,16-W01,909432.5958
16-W02,16-W02,1028005.123
16-W03,16-W03,881335.2894
16-W04,16-W04,1213853.052
16-W05,16-W05,1183342.916
16-W06,16-W06,1569554.425
16-W07,16-W07,1441949.445
16-W08,16-W08,1315771.344
16-W09,16-W09,2246857.766
16-W10,16-W10,1616144.148
16-W11,16-W11,2008573.99
16-W12,16-W12,1839725.063
16-W13,16-W13,1672559.456
16-W14,16-W14,1631830.851
16-W15,16-W15,1976322.522
16-W16,16-W16,1685446.838
16-W17,16-W17,1639013.696
16-W18,16-W18,2567431.438
16-W19,16-W19,2625294.192
16-W20,16-W20,2299874.067
16-W21,16-W21,3226364.863
16-W22,16-W22,1471834.328
16-W23,16-W23,1573855.4
16-W24,16-W24,1875296.17
16-W25,16-W25,1925353.151
16-W26,16-W26,1691404.432
16-W27,16-W27,1365048.965
16-W28,16-W28,1190635.78
16-W29,16-W29,1508134.852
16-W30,16-W30,1088197.053
16-W31,16-W31,1099195.987
16-W32,16-W32,1126964.789
16-W33,16-W33,1243874.665
16-W34,16-W34,1318081.941
16-W35,16-W35,1396091.824
16-W36,16-W36,1322185.334
16-W37,16-W37,1058882.773
16-W38,16-W38,1052083.404
16-W39,16-W39,1415847.265
16-W40,16-W40,985886.3841
16-W41,16-W41,974057.6004
16-W42,16-W42,1168232.074
16-W43,16-W43,823739.2353
16-W44,16-W44,1097201.647
16-W45,16-W45,1146353.154
16-W46,16-W46,1525153.635
16-W47,16-W47,762586.6838
16-W48,16-W48,334129.6929
16-W49,16-W49,1182995.565
16-W50,16-W50,1118731.934
16-W51,16-W51,1108816.086
16-W52,16-W52,1678454.148
17-W01,17-W01,893253.5138
17-W02,17-W02,1017089.901
17-W03,17-W03,1027026.72
17-W04,17-W04,1165137.036
17-W05,17-W05,1138830.266
17-W06,17-W06,1277462.888
17-W07,17-W07,1063884.859
17-W08,17-W08,1264800.364
